Type|X1 Location|Y1 Location|X2 Location|Y2 Location|Net Name|Layer Number|Length|Width
Trace|-53.4670|-103.7590|-53.4670|-14.3025|12302|L11-SIG2|89.456500|0.1181
Trace|-53.4670|-14.3025|-36.4975|2.6670|12302|L11-SIG2|23.998497|0.1181
Trace|-34.5440|3.3020|-30.9880|3.3020|12302|L11-SIG2|3.556000|0.1181
Trace|-35.1790|2.6670|-34.5440|3.3020|12302|L11-SIG2|0.898026|0.1181
Trace|-36.4975|2.6670|-35.1790|2.6670|12302|L11-SIG2|1.318500|0.1181
Trace|-30.2810|0.6000|-30.3999|0.6000|12302|L11-SIG2|0.118900|0.0737
Trace|-30.0823|0.7987|-30.2810|0.6000|12302|L11-SIG2|0.281004|0.0737
Trace|-29.9201|0.7987|-30.0823|0.7987|12302|L11-SIG2|0.162200|0.0737
Trace|-29.7986|0.9202|-29.9201|0.7987|12302|L11-SIG2|0.171827|0.0737
Trace|-29.7986|1.3150|-29.7986|0.9202|12302|L11-SIG2|0.394800|0.0737
Trace|-29.7986|1.4776|-29.7986|1.3150|12302|L11-SIG2|0.162600|0.1181
Trace|-30.0990|1.7780|-29.7986|1.4776|12302|L11-SIG2|0.424830|0.1181
Trace|-30.0990|2.4130|-30.0990|1.7780|12302|L11-SIG2|0.635000|0.1181
Trace|-30.9880|3.3020|-30.0990|2.4130|12302|L11-SIG2|1.257236|0.1181
Trace|-55.8800|-149.8600|-49.5300|-156.2100|12304|L11-SIG2|8.980256|0.1181
Trace|-57.7850|-149.8600|-55.8800|-149.8600|12304|L11-SIG2|1.905000|0.1181
Trace|-58.9280|-148.7170|-57.7850|-149.8600|12304|L11-SIG2|1.616446|0.1181
Trace|-58.9280|-113.0300|-58.9280|-148.7170|12304|L11-SIG2|35.687000|0.1181
Trace|-50.9270|-105.0290|-58.9280|-113.0300|12304|L11-SIG2|11.315123|0.1181
Trace|-50.9270|-14.3510|-50.9270|-105.0290|12304|L11-SIG2|90.678000|0.1181
Trace|-34.1630|2.4130|-50.9270|-14.3510|12304|L11-SIG2|23.707876|0.1181
Trace|-31.3690|2.4130|-34.1630|2.4130|12304|L11-SIG2|2.794000|0.1181
Trace|-31.0012|2.0452|-31.3690|2.4130|12304|L11-SIG2|0.520148|0.1181
Trace|-31.0012|1.3150|-31.0012|2.0452|12304|L11-SIG2|0.730200|0.1181
Trace|-31.0012|0.7928|-31.0012|1.3150|12304|L11-SIG2|0.522200|0.0737
Trace|-30.8084|0.6000|-31.0012|0.7928|12304|L11-SIG2|0.272660|0.0737
Trace|-30.7999|0.6000|-30.8084|0.6000|12304|L11-SIG2|0.008500|0.0737
Trace|-34.2900|-156.2100|-30.6070|-152.5270|12310|L11-SIG2|5.208549|0.1181
Trace|-30.6070|-152.5270|-16.0020|-152.5270|12310|L11-SIG2|14.605000|0.1181
Trace|-12.4460|-113.4110|-27.9118|-97.9452|12310|L11-SIG2|21.871944|0.1181
Trace|-27.9118|-97.9452|-27.9118|-3.9652|12310|L11-SIG2|93.980000|0.1181
Trace|-28.9986|-0.8013|-29.1999|-0.6000|12310|L11-SIG2|0.284681|0.0737
Trace|-28.9986|-1.3150|-28.9986|-0.8013|12310|L11-SIG2|0.513700|0.0737
Trace|-28.9986|-2.8784|-28.9986|-1.3150|12310|L11-SIG2|1.563400|0.1181
Trace|-27.9118|-3.9652|-28.9986|-2.8784|12310|L11-SIG2|1.536967|0.1181
Trace|-16.0020|-152.5270|-12.4460|-148.9710|12310|L11-SIG2|5.028943|0.1181
Trace|-12.4460|-148.9710|-12.4460|-113.4110|12310|L11-SIG2|35.560000|0.1181
Trace|-27.8130|-154.8130|-14.9860|-154.8130|12312|L11-SIG2|12.827000|0.1181
Trace|-29.2100|-156.2100|-27.8130|-154.8130|12312|L11-SIG2|1.975656|0.1181
Trace|-26.5794|-97.1186|-26.5794|-3.4289|12312|L11-SIG2|93.689700|0.1181
Trace|-9.2710|-114.4270|-26.5794|-97.1186|12312|L11-SIG2|24.477774|0.1181
Trace|-28.5986|-0.8013|-28.7999|-0.6000|12312|L11-SIG2|0.284681|0.0737
Trace|-28.5986|-1.3150|-28.5986|-0.8013|12312|L11-SIG2|0.513700|0.0737
Trace|-28.5986|-1.4097|-28.5986|-1.3150|12312|L11-SIG2|0.094700|0.1181
Trace|-26.5794|-3.4289|-28.5986|-1.4097|12312|L11-SIG2|2.855580|0.1181
Trace|-14.9860|-154.8130|-9.2710|-149.0980|12312|L11-SIG2|8.082231|0.1181
Trace|-9.2710|-149.0980|-9.2710|-114.4270|12312|L11-SIG2|34.671000|0.1181
Trace|29.8013|-0.7986|30.0000|-0.5999|31502|L11-SIG2|0.281004|0.0737
Trace|29.8013|-1.3149|29.8013|-0.7986|31502|L11-SIG2|0.516300|0.0737
Trace|29.8013|-1.4864|29.8013|-1.3149|31502|L11-SIG2|0.171500|0.1181
Trace|31.4899|-3.1750|29.8013|-1.4864|31502|L11-SIG2|2.388041|0.1181
